"question_id","deadline","pseudonym","question_title","option_a","option_b","ground_truth","user_vote","is_correct","voted_at"
"3","2026-03-04T17:30:00.000Z","Expert 4","Day 3: will the SMI close up or down?","Up","Down","A","A","1","2026-03-04T08:15:00.000Z"
"3","2026-03-04T17:30:00.000Z","Expert 5","Day 3: will the SMI close up or down?","Up","Down","A","B","0","2026-03-04T08:15:00.000Z"
"3","2026-03-04T17:30:00.000Z","Expert 6","Day 3: will the SMI close up or down?","Up","Down","A","A","1","2026-03-04T08:15:00.000Z"
"3","2026-03-04T17:30:00.000Z","Expert 7","Day 3: will the SMI close up or down?","Up","Down","A","B","0","2026-03-04T08:15:00.000Z"
"4","2026-03-05T17:30:00.000Z","Expert 1","Day 4: will the SMI close up or down?","Up","Down","B","A","0","2026-03-05T08:15:00.000Z"
"4","2026-03-05T17:30:00.000Z","Expert 2","Day 4: will the SMI close up or down?","Up","Down","B","A","0","2026-03-05T08:15:00.000Z"
"4","2026-03-05T17:30:00.000Z","Expert 3","Day 4: will the SMI close up or down?","Up","Down","B","A","0","2026-03-05T08:15:00.000Z"
"4","2026-03-05T17:30:00.000Z","Expert 4","Day 4: will the SMI close up or down?","Up","Down","B","B","1","2026-03-05T08:15:00.000Z"
"4","2026-03-05T17:30:00.000Z","Expert 5","Day 4: will the SMI close up or down?","Up","Down","B","B","1","2026-03-05T08:15:00.000Z"
"4","2026-03-05T17:30:00.000Z","Expert 6","Day 4: will the SMI close up or down?","Up","Down","B","A","0","2026-03-05T08:15:00.000Z"
"4","2026-03-05T17:30:00.000Z","Expert 7","Day 4: will the SMI close up or down?","Up","Down","B","A","0","2026-03-05T08:15:00.000Z"
"5","2026-03-06T17:30:00.000Z","Expert 1","Day 5: will the SMI close up or down?","Up","Down","A","A","1","2026-03-06T08:15:00.000Z"
"5","2026-03-06T17:30:00.000Z","Expert 2","Day 5: will the SMI close up or down?","Up","Down","A","B","0","2026-03-06T08:15:00.000Z"
"5","2026-03-06T17:30:00.000Z","Expert 3","Day 5: will the SMI close up or down?","Up","Down","A","A","1","2026-03-06T08:15:00.000Z"
"5","2026-03-06T17:30:00.000Z","Expert 4","Day 5: will the SMI close up or down?","Up","Down","A","A","1","2026-03-06T08:15:00.000Z"
"5","2026-03-06T17:30:00.000Z","Expert 5","Day 5: will the SMI close up or down?","Up","Down","A","B","0","2026-03-06T08:15:00.000Z"
"5","2026-03-06T17:30:00.000Z","Expert 6","Day 5: will the SMI close up or down?","Up","Down","A","B","0","2026-03-06T08:15:00.000Z"
"5","2026-03-06T17:30:00.000Z","Expert 7","Day 5: will the SMI close up or down?","Up","Down","A","B","0","2026-03-06T08:15:00.000Z"
"6","2026-03-07T17:30:00.000Z","Expert 1","Day 6: will the SMI close up or down?","Up","Down","B","A","0","2026-03-07T08:15:00.000Z"
"6","2026-03-07T17:30:00.000Z","Expert 2","Day 6: will the SMI close up or down?","Up","Down","B","B","1","2026-03-07T08:15:00.000Z"
"6","2026-03-07T17:30:00.000Z","Expert 3","Day 6: will the SMI close up or down?","Up","Down","B","A","0","2026-03-07T08:15:00.000Z"
"6","2026-03-07T17:30:00.000Z","Expert 4","Day 6: will the SMI close up or down?","Up","Down","B","B","1","2026-03-07T08:15:00.000Z"
"6","2026-03-07T17:30:00.000Z","Expert 5","Day 6: will the SMI close up or down?","Up","Down","B","A","0","2026-03-07T08:15:00.000Z"
"6","2026-03-07T17:30:00.000Z","Expert 6","Day 6: will the SMI close up or down?","Up","Down","B","B","1","2026-03-07T08:15:00.000Z"
"6","2026-03-07T17:30:00.000Z","Expert 7","Day 6: will the SMI close up or down?","Up","Down","B","B","1","2026-03-07T08:15:00.000Z"
"7","2026-03-08T17:30:00.000Z","Expert 1","Day 7: will the SMI close up or down?","Up","Down","B","B","1","2026-03-08T08:15:00.000Z"
"7","2026-03-08T17:30:00.000Z","Expert 2","Day 7: will the SMI close up or down?","Up","Down","B","A","0","2026-03-08T08:15:00.000Z"
"7","2026-03-08T17:30:00.000Z","Expert 3","Day 7: will the SMI close up or down?","Up","Down","B","A","0","2026-03-08T08:15:00.000Z"
"7","2026-03-08T17:30:00.000Z","Expert 4","Day 7: will the SMI close up or down?","Up","Down","B","B","1","2026-03-08T08:15:00.000Z"
"7","2026-03-08T17:30:00.000Z","Expert 5","Day 7: will the SMI close up or down?","Up","Down","B","B","1","2026-03-08T08:15:00.000Z"
"7","2026-03-08T17:30:00.000Z","Expert 6","Day 7: will the SMI close up or down?","Up","Down","B","A","0","2026-03-08T08:15:00.000Z"
"7","2026-03-08T17:30:00.000Z","Expert 7","Day 7: will the SMI close up or down?","Up","Down","B","B","1","2026-03-08T08:15:00.000Z"
"8","2026-03-09T17:30:00.000Z","Expert 1","Day 8: will the SMI close up or down?","Up","Down","A","B","0","2026-03-09T08:15:00.000Z"
"8","2026-03-09T17:30:00.000Z","Expert 2","Day 8: will the SMI close up or down?","Up","Down","A","B","0","2026-03-09T08:15:00.000Z"
"8","2026-03-09T17:30:00.000Z","Expert 3","Day 8: will the SMI close up or down?","Up","Down","A","B","0","2026-03-09T08:15:00.000Z"
"8","2026-03-09T17:30:00.000Z","Expert 4","Day 8: will the SMI close up or down?","Up","Down","A","A","1","2026-03-09T08:15:00.000Z"
"8","2026-03-09T17:30:00.000Z","Expert 5","Day 8: will the SMI close up or down?","Up","Down","A","A","1","2026-03-09T08:15:00.000Z"
"8","2026-03-09T17:30:00.000Z","Expert 6","Day 8: will the SMI close up or down?","Up","Down","A","B","0","2026-03-09T08:15:00.000Z"
"8","2026-03-09T17:30:00.000Z","Expert 7","Day 8: will the SMI close up or down?","Up","Down","A","A","1","2026-03-09T08:15:00.000Z"
